competition,configuration,ml_weight,poisson_weight,match_count,accuracy,log_loss,brier_score,macro_f1,weighted_f1,draw_recall,away_recall,home_recall
Premier League,50 ML / 50 Poisson,0.5,0.5,1520,0.4986842105263158,1.0285299621326194,0.616464256999694,0.38114738610198073,0.42632367602061655,0.0025380710659898475,0.6260162601626016,0.7082018927444795
Primeira Liga,50 ML / 50 Poisson,0.5,0.5,1220,0.5516393442622951,0.9433732617278084,0.5584924618740718,0.43932393691685667,0.48066511897641073,0.030864197530864196,0.7519582245430809,0.7309941520467836
Serie A,50 ML / 50 Poisson,0.5,0.5,1508,0.5159151193633952,0.9945324214259135,0.5928077720041414,0.4093692503610808,0.4445259893988813,0.01951219512195122,0.6679841897233202,0.7297297297297297
Turkish Super League,50 ML / 50 Poisson,0.5,0.5,648,0.5108024691358025,0.9913024059363994,0.5910123839167651,0.3937786245969955,0.44206807148979466,0.011834319526627219,0.6847826086956522,0.688135593220339
Overall,40 ML / 60 Poisson,0.4,0.6,10343,0.522382287537465,0.998138502899112,0.5932954216417615,0.40014129005194565,0.45216765295462125,0.008856372737774355,0.6702619414483821,0.7120639857809375
Bundesliga,40 ML / 60 Poisson,0.4,0.6,1151,0.5204170286707211,1.0113673721786964,0.6001188498876187,0.3942338041243949,0.44741786879089235,0.0,0.640506329113924,0.7346072186836518
Champions League,40 ML / 60 Poisson,0.4,0.6,378,0.5687830687830688,0.9988362285068022,0.5808786829921643,0.4063883085080093,0.5225646023651012,0.0,0.6484375,0.6910994764397905
Eredivisie,40 ML / 60 Poisson,0.4,0.6,1200,0.5233333333333333,1.0014298559028323,0.5933982925388667,0.40026237364584594,0.45059487988804314,0.006514657980456026,0.7033898305084746,0.699443413729128
La Liga,40 ML / 60 Poisson,0.4,0.6,1508,0.5192307692307693,1.0018910097937255,0.5951062158314937,0.3975133487664637,0.4566225291146435,0.015873015873015872,0.6596244131455399,0.7045454545454546
Ligue 1,40 ML / 60 Poisson,0.4,0.6,1210,0.5231404958677686,0.9998065831927458,0.5928217487105323,0.3917386840813188,0.4616242019374578,0.0036900369003690036,0.6710875331564987,0.6743772241992882
Premier League,40 ML / 60 Poisson,0.4,0.6,1520,0.5,1.0295559542566453,0.6175104435224437,0.381368424355923,0.42663342226555273,0.0025380710659898475,0.6260162601626016,0.7113564668769716
Primeira Liga,40 ML / 60 Poisson,0.4,0.6,1220,0.5508196721311476,0.9434412370541801,0.5590515355041753,0.431787231107516,0.47491829490789494,0.018518518518518517,0.7441253263707572,0.7426900584795322
Serie A,40 ML / 60 Poisson,0.4,0.6,1508,0.5185676392572944,0.9957222564565806,0.59390276817504,0.4058980097251134,0.4420401291487649,0.012195121951219513,0.6679841897233202,0.7415540540540541
Turkish Super League,40 ML / 60 Poisson,0.4,0.6,648,0.5108024691358025,0.9911985151295999,0.5911559341228494,0.39306853927466473,0.4409984277826189,0.011834319526627219,0.6793478260869565,0.6915254237288135
