league,sport_key,api_team,status,matched_model_team,best_candidate,best_score,second_best_score,score_margin,distinctive_overlap,reason
Belgian First Division,soccer_belgium_first_div,Union Saint-Gilloise,MISSING,,Royale Union Saint-Gilloise,0.7083413926499033,0.19695000000000001,0.5113913926499032,"gilloise, saint, union",The best candidate score is below the required threshold of 84%.
Belgian First Division,soccer_belgium_first_div,Westerlo,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Bundesliga,soccer_germany_bundesliga,Augsburg,MISSING,,FC Augsburg,0.7763157894736842,0.0,0.7763157894736842,augsburg,The best candidate score is below the required threshold of 84%.
Bundesliga,soccer_germany_bundesliga,Elversberg,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Bundesliga,soccer_germany_bundesliga,FC Schalke 04,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Bundesliga,soccer_germany_bundesliga,FSV Mainz 05,MISSING,,1. FSV Mainz 05,0.8384615384615386,0.0,0.8384615384615386,mainz,The best candidate score is below the required threshold of 84%.
Bundesliga,soccer_germany_bundesliga,SC Paderborn,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Bundesliga,soccer_germany_bundesliga,TSG Hoffenheim,MISSING,,TSG 1899 Hoffenheim,0.7272727272727272,0.0,0.7272727272727272,"hoffenheim, tsg",The best candidate score is below the required threshold of 84%.
Bundesliga,soccer_germany_bundesliga,Union Berlin,MISSING,,1. FC Union Berlin,0.7741379310344828,0.17918181818181822,0.5949561128526646,"berlin, union",The best candidate score is below the required threshold of 84%.
Bundesliga,soccer_germany_bundesliga,Werder Bremen,MISSING,,SV Werder Bremen,0.8178160919540229,0.0,0.8178160919540229,"bremen, werder",The best candidate score is below the required threshold of 84%.
Champions League Qualification,soccer_uefa_champs_league_qualification,AGF Aarhus,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Champions League Qualification,soccer_uefa_champs_league_qualification,Bodø/Glimt,MISSING,,FK Bodø/Glimt,0.8119047619047619,0.0,0.8119047619047619,"bod, glimt",The best candidate score is below the required threshold of 84%.
Champions League Qualification,soccer_uefa_champs_league_qualification,Dinamo Zagreb,MISSING,,GNK Dinamo Zagreb,0.6522222222222223,0.0,0.6522222222222223,"dinamo, zagreb",The best candidate score is below the required threshold of 84%.
Champions League Qualification,soccer_uefa_champs_league_qualification,FC Ararat-Armenia,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
Champions League Qualification,soccer_uefa_champs_league_qualification,FC Kairat,MISSING,,FK Kairat,0.8,0.0,0.8,kairat,The best candidate score is below the required threshold of 84%.
Champions League Qualification,soccer_uefa_champs_league_qualification,FK Kauno Žalgiris,MISSING,,1. FC Heidenheim 1846,0.0,0.0,0.0,,No distinctive team-name token matched. A match based only on generic words was rejected.
